,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,cabo san lucas,22.89,-109.91,79.0,74,0,6.13,MX,1604282376
159,fortuna,40.6,-124.16,54.0,100,1,1.54,US,1604282116
160,geraldton,-28.77,114.6,64.4,68,40,20.8,AU,1604282377
161,valtierrilla,20.53,-101.13,55.99,54,0,3.0,MX,1604282377
162,mar del plata,-38.0,-57.56,60.01,87,0,2.24,AR,1604282377
163,pevek,69.7,170.31,13.93,96,100,8.25,RU,1604282378
164,muros,42.78,-9.06,66.0,92,99,14.0,ES,1604282113
165,alekseyevsk,57.84,108.35,15.6,87,0,4.94,RU,1604282378
166,los arcos,8.63,125.99,89.19,55,82,3.71,PH,1604282378
167,conceicao do araguaia,-8.26,-49.26,75.22,91,100,3.38,BR,1604282235
168,arraial do cabo,-22.97,-42.03,68.43,74,6,17.16,BR,1604282115
169,hamina,60.57,27.2,42.8,75,42,13.87,FI,1604282379
170,kedrovyy,56.17,91.82,37.4,69,0,8.95,RU,1604282380
171,takoradi,4.88,-1.76,77.59,90,67,6.44,GH,1604282150
172,bogorodskoye,56.55,37.88,38.86,91,100,7.72,RU,1604282381
173,almeirim,-1.52,-52.58,82.18,55,85,3.71,BR,1604282381
174,qiyang,26.59,111.85,63.7,56,93,4.72,CN,1604282381
175,tecoanapa,16.52,-98.75,80.85,81,9,5.84,MX,1604282381
176,benghazi,32.12,20.07,69.96,63,24,10.45,LY,1604282381
177,yeppoon,-23.13,150.73,87.8,45,20,8.05,AU,1604282382
178,mendi,-6.18,143.65,68.34,82,82,4.0,PG,1604282382
179,severomuysk,56.15,113.43,-3.55,87,0,2.35,RU,1604282382
180,kudat,6.88,116.85,84.2,74,20,10.29,MY,1604282383
181,cherskiy,68.75,161.3,2.17,92,100,5.61,RU,1604282383
182,uyuni,-20.46,-66.83,48.07,38,0,13.31,BO,1604282383
183,bailieborough,53.92,-6.97,44.01,91,100,4.0,IE,1604282383
184,laguna,38.42,-121.42,71.6,35,1,2.48,US,1604282384
185,deputatskiy,69.3,139.9,-14.4,88,40,5.86,RU,1604282384
186,novaya bryan,51.72,108.27,12.2,78,0,2.24,RU,1604282384
187,laukaa,58.74,29.85,32.68,96,0,5.84,RU,1604282384
188,port alfred,-33.59,26.89,64.69,81,33,17.38,ZA,1604281995
189,mattawa,46.74,-119.9,50.0,39,1,4.7,US,1604282385
190,avera,33.19,-82.53,59.0,87,1,6.93,US,1604282167
191,nome,64.5,-165.41,26.6,63,1,3.36,US,1604282181
192,cravo norte,6.3,-70.2,74.43,93,99,5.61,CO,1604282386
193,santiago del estero,-27.8,-64.26,69.94,36,34,9.35,AR,1604282386
194,karratha,-20.74,116.85,80.62,47,27,13.65,AU,1604282386
195,sitka,57.05,-135.33,51.8,76,90,20.8,US,1604282387
196,vardo,70.37,31.11,45.27,82,98,29.28,NO,1604282295
197,ystad,55.43,13.82,57.2,93,90,18.34,SE,1604282387
